"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","25-29 years",2,6,9,13,12,11,16,15,13,9,8,9,9,21
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","30-34 years",11,11,13,12,18,21,22,17,19,9,12,11,12,23
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","35-39 years",12,11,13,14,15,18,14,18,21,21,17,18,19,17
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","40-44 years",16,17,13,9,12,10,12,9,10,14,18,14,14,18
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","45-49 years",6,8,11,12,12,11,9,5,3,3,8,6,10,10
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","50-54 years",9,2,3,3,6,5,1,0,6,5,4,5,5,6
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","55-59 years",2,3,1,0,2,2,2,1,2,2,4,5,4,3
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","60-64 years",3,1,2,1,1,1,1,1,1,1,1,6,4,0
"TOT Industry, total","All Denmark","Men","Enrolled in education","H80 PhD programs","65-69 years",1,3,3,1,0,0,0,0,0,0,0,0,1,0
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","15-19 years",9867,7622,6653,5947,5732,5795,6057,6711,6762,6468,6896,6272,7418,8009
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","20-24 years",19841,17739,16322,14495,13683,13368,14098,15064,16028,16326,16487,15805,17556,17138
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","25-29 years",17599,17281,17239,16658,16714,16704,16536,16814,17011,16795,16721,16473,18220,18204
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","30-34 years",19525,18132,17596,16840,16504,16506,16693,17604,18168,18740,18469,17633,18390,17868
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","35-39 years",25590,24089,22623,20540,19481,18997,18215,18102,18227,18192,18049,17614,18479,18645
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","40-44 years",30321,29342,28371,26994,25899,24610,23538,22720,21480,20734,19850,18533,18631,18452
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","45-49 years",32235,31673,31422,30331,29538,28810,28231,27654,27201,26491,25013,23434,22752,21470
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","50-54 years",31093,30563,29710,29710,29786,30024,29870,30020,29803,29188,28240,27032,26980,26565
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","55-59 years",25383,25759,27561,27491,28109,28714,28390,27832,28442,28811,28599,27737,28257,28185
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","60-64 years",20711,19490,17719,16173,15579,16353,17994,20381,20987,21868,22890,22525,22794,23507
"TOT Industry, total","All Denmark","Men","Employed","H10 Primary education","65-69 years",10384,10584,10969,10992,10605,10269,9884,9010,8412,8160,8610,9217,10568,11073
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","15-19 years",5552,5578,5649,5878,6129,6834,6989,7501,7663,8036,8729,8915,9622,9766
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","20-24 years",17134,16460,16051,16313,16960,18677,21815,24169,26566,28232,29282,30264,32164,34242
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","25-29 years",7557,7285,7192,7018,7116,7244,7696,8540,9290,10011,10638,11078,11848,12516
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","30-34 years",8224,7798,7235,6961,6616,6568,6421,6606,7017,7336,7450,7568,8097,8672
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","35-39 years",8980,9227,9122,8648,8341,7910,7548,7319,7157,6940,6851,6529,6800,6989
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","40-44 years",9622,9246,8838,8715,8676,8774,9080,9011,8694,8494,8029,7535,7361,7121
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","45-49 years",8408,8898,9369,9421,9321,9186,8889,8693,8664,8628,8663,8803,8878,8577
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","50-54 years",6688,6841,6873,7139,7593,8087,8495,9002,9217,9191,9068,8594,8539,8451
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","55-59 years",4985,5284,5694,5812,6035,6203,6390,6490,6878,7297,7775,8007,8677,8923
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","60-64 years",2769,2914,3015,3245,3422,3725,4076,4515,4708,4969,5213,5319,5613,6075
"TOT Industry, total","All Denmark","Men","Employed","H20 Upper secondary education","65-69 years",840,1029,1178,1316,1396,1492,1555,1594,1742,1841,2035,2147,2499,2731
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","15-19 years",253,311,351,271,245,256,291,256,235,225,206,200,225,527
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","20-24 years",24574,24917,25337,24746,24036,24393,23629,23907,23327,22510,21220,19543,20321,20721
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","25-29 years",42100,41023,40890,39696,39347,40006,40754,41978,43233,43811,43018,41394,41825,41039
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","30-34 years",57256,54754,52694,50408,48094,46904,45784,45970,46116,46225,46602,46361,48063,49161
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","35-39 years",65544,65853,65527,62894,61700,60038,58085,55843,53957,51913,49866,47965,48345,48435
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","40-44 years",76957,73568,70708,68067,66884,67305,67944,67581,65401,64009,61675,58751,57041,55162
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","45-49 years",73303,75969,79335,80574,79598,77739,74601,71727,69659,68608,68021,67548,67756,65739
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","50-54 years",63082,63751,65302,66919,69460,72710,75932,79446,81259,80415,77507,73187,71218,69281
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","55-59 years",64424,63161,62327,60838,60345,61267,62491,64108,66239,68858,71221,72914,77154,79210
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","60-64 years",41220,40814,41196,41769,42748,43999,45276,46890,48060,49723,51898,52516,54777,57594
"TOT Industry, total","All Denmark","Men","Employed","H30 Vocational Education and Training (VET)","65-69 years",13434,14963,16787,18019,18890,19562,20095,20518,21164,22294,23401,23632,25049,26444
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","15-19 years",5,12,8,4,5,16,28,55,58,38,60,33,22,41
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","20-24 years",1191,1158,1212,1302,1470,1676,2010,2388,2735,2818,2812,2385,2622,2718
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","25-29 years",5951,5571,5418,5348,5567,5748,6144,6413,6848,7491,8119,8337,9079,9583
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","30-34 years",11078,10434,9927,9456,8963,8534,8296,8488,8659,8910,9216,9401,9786,10439
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","35-39 years",13405,13581,13372,12958,12653,12397,11796,11313,10826,10336,9949,9697,10046,10207
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","40-44 years",12934,13234,13476,13624,13735,14067,14362,14142,13777,13568,13212,12401,12126,11819
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","45-49 years",10269,10867,11672,12420,12979,13376,13604,13869,14124,14319,14680,14721,14720,14410
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","50-54 years",8086,8458,8823,9120,9646,10317,11046,11904,12679,13257,13507,13571,14007,14409
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","55-59 years",6478,6624,6912,7265,7499,7918,8397,8792,9124,9674,10211,10717,11732,12605
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","60-64 years",4782,4710,4633,4571,4737,4957,5281,5679,6060,6456,6916,7163,7666,8154
"TOT Industry, total","All Denmark","Men","Employed","H40 Short cycle higher education","65-69 years",1373,1570,1837,1979,2152,2238,2294,2285,2357,2474,2611,2794,3141,3574
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","15-19 years",5,1,6,7,7,5,5,5,3,6,3,8,2,21
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","20-24 years",793,863,961,1017,1213,1529,2030,2156,2067,2036,2227,1847,2091,2584
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","25-29 years",8342,8404,8746,9181,10136,11723,13587,15621,16933,18304,19309,18722,19517,20963
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","30-34 years",15680,15470,15054,15177,15267,15775,16765,18351,19643,21289,23178,24724,26811,29015
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","35-39 years",19098,19486,19446,18767,18718,18770,18851,18980,19346,19775,20277,20759,22428,24669
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","40-44 years",20090,20036,19849,19819,20014,20546,21140,21329,20823,20925,20982,20788,20932,21912
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","45-49 years",18439,19097,19853,20408,20702,20753,20790,20810,20882,21191,21611,21973,22428,22177
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","50-54 years",17393,17360,17427,17728,17982,18507,19319,20234,20887,21286,21334,20986,21154,21558
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","55-59 years",18127,17779,17578,17266,17046,16956,16994,17195,17404,17797,18406,18925,20119,20871
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","60-64 years",14270,13910,13541,13211,13043,13000,13149,13527,13689,13980,14334,14404,15013,15737
"TOT Industry, total","All Denmark","Men","Employed","H50 Vocational bachelors educations","65-69 years",4730,5436,6116,6601,6861,6844,6802,6505,6417,6393,6545,6643,7149,7673
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","15-19 years",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","20-24 years",295,331,301,307,336,408,550,614,582,480,502,615,736,794
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","25-29 years",1321,1218,1223,1115,1123,1272,1600,2021,2244,2406,2509,3267,3534,3675
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","30-34 years",2333,2414,2439,2406,2214,2055,2043,2150,2196,2451,2663,3092,3484,3812
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","35-39 years",2494,2751,2841,2872,2897,2894,2881,2813,2769,2638,2527,2512,2581,2661
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","40-44 years",2023,2098,2208,2326,2466,2684,2867,2999,2976,3030,3023,2992,2901,2898
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","45-49 years",1616,1777,1903,1970,2049,2082,2088,2213,2343,2540,2741,2893,3085,3091
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","50-54 years",1123,1184,1242,1353,1462,1636,1750,1903,1986,2045,2067,2083,2220,2340
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","55-59 years",926,922,964,972,1046,1079,1154,1215,1341,1453,1578,1701,1861,1970
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","60-64 years",539,605,656,701,721,761,794,820,855,906,958,1012,1113,1248
"TOT Industry, total","All Denmark","Men","Employed","H60 Bachelors programs","65-69 years",148,180,204,248,286,325,361,402,410,443,477,483,495,546
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","15-19 years",0,0,0,0,0,1,1,2,3,2,0,0,3,4
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","20-24 years",270,297,292,310,340,413,449,670,818,965,999,740,905,820
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","25-29 years",8779,8888,9440,9951,10865,12036,14001,16298,18322,19866,21447,21580,23674,24611
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","30-34 years",18285,18545,18754,19024,19349,20048,21445,23056,24305,25887,27627,29108,31301,33245
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","35-39 years",18618,20062,20628,20746,21315,21634,22309,22798,23333,23757,24369,24465,25972,27530
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","40-44 years",16642,16936,17412,18124,18955,20163,21621,22354,22560,23172,23477,23403,24016,24485
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","45-49 years",13533,14449,15325,16212,16861,17312,17564,18232,19005,19870,21119,22292,23114,23396
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","50-54 years",12965,12989,12924,12949,13137,13734,14569,15625,16581,17342,17731,17738,18581,19483
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","55-59 years",12425,12696,12679,12769,12879,12844,12846,12853,12843,13090,13697,14413,15590,16682
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","60-64 years",10650,10753,10789,10747,10781,10778,11148,11321,11427,11629,11561,11540,11737,11887
"TOT Industry, total","All Denmark","Men","Employed","H70 Masters programs","65-69 years",4283,4854,5527,6110,6290,6535,6607,6488,6478,6495,6692,6856,7153,7499
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","15-19 years",0,0,1,0,0,0,1,0,1,0,1,0,1,0
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","20-24 years",17,15,13,17,22,24,19,20,14,18,26,30,45,22
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","25-29 years",204,262,323,332,393,450,410,489,498,486,367,350,388,433
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","30-34 years",1323,1433,1567,1785,1987,2291,2527,2698,2828,2886,2682,2703,2705,2791
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","35-39 years",2123,2298,2431,2523,2683,2950,3165,3267,3446,3565,3757,3882,4019,4173
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","40-44 years",2010,2110,2221,2370,2587,2805,2999,3202,3227,3362,3414,3500,3594,3860
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","45-49 years",1716,1841,1946,2112,2172,2255,2359,2479,2623,2780,2994,3144,3347,3417
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","50-54 years",1193,1326,1450,1529,1716,1857,1973,2095,2198,2245,2312,2412,2594,2710
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","55-59 years",705,773,891,1016,1117,1267,1374,1491,1565,1725,1834,1932,2090,2209
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","60-64 years",497,537,543,575,641,674,767,887,999,1067,1188,1305,1429,1502
"TOT Industry, total","All Denmark","Men","Employed","H80 PhD programs","65-69 years",128,172,215,253,300,338,370,370,403,451,489,566,640,753
"TOT Industry, total","All Denmark","Men","Unemployed","H10 Primary education","15-19 years",1270,1139,936,948,795,187,219,338,307,153,92,76,37,48
"TOT Industry, total","All Denmark","Men","Unemployed","H10 Primary education","20-24 years",3742,3062,2632,2588,2376,1006,1060,1283,1367,962,770,807,365,446
"TOT Industry, total","All Denmark","Men","Unemployed","H10 Primary education","25-29 years",3431,3080,2636,2851,2657,1296,1179,1694,1787,1347,1218,1388,781,845
